State, Facility Name, Facility ID (ORISPL), Year, Gross Load (MW-h), CO2 (short tons), Heat Input (MMBtu), Facility Latitude, Facility Longitude,CO2 (Mt)
NY,"Beaver Falls, LLC",10617,2020,2380.64,1180.788,19862.319,43.8861,-75.4342,0.001071193
NY,Bethlehem Energy Center (Albany),2539,2020,3330894.86,2030841.502,34172719.05,42.5905,-73.7636,1.842348948
NY,Bethpage Energy Center,50292,2020,527181.71,264031.917,4442748.961,40.7469,-73.4994,0.239525795
NY,"Black River Generation, LLC",10464,2020,,594534.783,5644634.778,44.0361,-75.7712,0.539353037
NY,Bowline Generating Station,2625,2020,693990.66,417872.923,7048664.591,41.2044,-73.9689,0.379088048
NY,Brentwood,7912,2020,86154.81,51758.055,870958.567,40.787,-73.2933,0.046954131
NY,Brooklyn Navy Yard Cogeneration,54914,2020,1615737.88,1091072.527,18359005.64,40.6994,-73.9758,0.98980463
NY,Caithness Long Island Energy Center,56234,2020,2248324.92,899998.235,15144027.66,40.8142,-72.9403,0.816464899
NY,Carr Street Generating Station,50978,2020,73421.43,55745.064,937994.117,43.0611,-76.0819,0.050571086
NY,Carthage Energy,10620,2020,4697.04,2551.519,42939.676,43.9842,-75.6225,0.0023147
NY,"Castleton Power, LLC",10190,2020,81564.51,43928.712,739155.058,42.5375,-73.7433,0.039851469
NY,"Cayuga Operating Company, LLC",2535,2020,,,,42.6028,-76.6336,0
NY,Cornell University Ithaca Campus,50368,2020,,,819255.919,42.4428,-76.4764,0
NY,Covanta Niagara,50472,2020,,27032.6,750578.9,43.0839,-79.0056,0.024523569
NY,Cricket Valley Energy Center,57185,2020,4013022.1,1697691.544,28566967.67,41.6762,-73.5806,1.540120303
NY,Danskammer Generating Station,2480,2020,12648.04,8486.795,143161.891,41.573,-73.9646,0.007699093
NY,E F Barrett,2511,2020,1469081.09,941535.239,15812832.34,40.6169,-73.6486,0.854146646
NY,East Hampton Facility,2512,2020,12199.4,14660.503,180730.972,40.9619,-72.2095,0.013299788
NY,East River,2493,2020,2592539.5,2173868.175,36564742.33,40.7281,-73.9742,1.9721006
NY,Edgewood Energy,55786,2020,84517.77,51354.894,864144.766,40.7861,-73.2931,0.04658839
NY,"Empire Generating Co, LLC",56259,2020,3009447.28,1272056.188,21404682.86,42.6296,-73.749,1.153990293
NY,Equus  Power I,56032,2020,61601.84,36532.631,614735.087,40.6447,-73.5683,0.033141855
NY,Fortistar North Tonawanda Inc,54131,2020,11735.57,10981.236,184773.137,43.0483,-78.8539,0.009962013
NY,Freeport Power Plant No. 2,2679,2020,10387,6297.15,105952.35,40.6447,-73.5683,0.00571268
NY,Glenwood,2514,2020,1765,1982.4,24477.7,40.8269,-73.6479,0.001798404
NY,Glenwood Landing Energy Center,7869,2020,112867,66625.55,1116843.675,40.8275,-73.6478,0.0604417
NY,Gowanus Generating Station,2494,2020,14492.3,,239494.3,40.6635,-74.0051,0
NY,Greenidge Generation LLC,2527,2020,392647.58,228303.061,3849053.684,42.6789,-76.9483,0.207113112
NY,Harlem River Yard,7914,2020,61308.61,36424.699,612916.188,40.7989,-73.9147,0.033043941
NY,"Hawkeye Energy Greenport, LLC",55969,2020,53172.09,44926.808,553676.246,41.1056,-72.3767,0.040756926
NY,Hell Gate,7913,2020,65321.63,40058.627,674065.144,40.7988,-73.9093,0.036340586
NY,Hillburn,2628,2020,198.02,227.969,3835.247,41.1269,-74.1653,0.00020681
NY,Holtsville Facility,8007,2020,50435,56988.5,703668.8,40.8153,-73.0664,0.051699112
NY,Hudson Avenue,2496,2020,308,,5170,40.7052,-73.9807,0
NY,Indeck-Corinth Energy Center,50458,2020,391157.25,186815.925,3143564.2,43.25,-73.8125,0.169476605
NY,Indeck-Olean Energy Center,54076,2020,85750,44458.975,748123.95,42.0875,-78.4578,0.040332515
NY,Indeck-Oswego Energy Center,50450,2020,19981,10974.925,184664.225,43.4682,-76.4965,0.009956287
NY,Indeck-Silver Springs Energy Center,50449,2020,48069.75,27219.1,458029.775,42.6544,-78.0772,0.024692759
