Spud Date,Total Depth Date,LONG,LAT,API Well Number
19700722,19700830,-93.282903,29.477796,1.77002E+11
19700712,19700806,-93.165101,29.422938,1.77002E+11
19700808,19700826,-93.148661,29.592801,1.77002E+11
19700827,19700913,-93.166441,29.431302,1.77002E+11
19700806,19700825,-93.134742,29.608013,1.77002E+11
19700911,19701020,-93.157087,29.576378,1.77002E+11
19700730,19700815,-93.547185,29.372198,1.77002E+11
19700816,19700827,-93.547185,29.372198,1.77002E+11
19700820,19700907,-93.177478,29.595867,1.77002E+11
19701031,19701110,-93.026412,28.78957,1.77002E+11
19700822,19700908,-93.561047,29.693374,1.77002E+11
19700828,19700911,-93.134742,29.608013,1.77002E+11
19700918,19701101,-93.20055,29.358716,1.77002E+11
19701114,19701222,-93.20055,29.358716,1.77002E+11
20030203,20030223,-93.20055,29.358716,1.77002E+11
19700910,19701016,-93.282909,29.477782,1.77002E+11
19700903,19700913,-93.55158,29.395129,1.77002E+11
19700920,19701010,-93.581443,29.693384,1.77002E+11
19700914,19701002,-93.148661,29.59281,1.77002E+11
19700913,19701004,-93.16652,29.431301,1.77002E+11
19701022,19701123,-93.581444,29.693384,1.77002E+11
19701004,19701021,-93.148661,29.592801,1.77002E+11
19701025,19701222,-93.179579,29.58894,1.77002E+11
19701018,19710124,-93.704957,29.711284,1.77002E+11
19701005,19701104,-93.134742,29.608013,1.77002E+11
19701025,19701113,-93.148661,29.592801,1.77002E+11
19701115,19701205,-93.148661,29.592801,1.77002E+11
19701116,19701125,-93.56559,29.391425,1.77002E+11
19701128,19701208,-93.56559,29.391425,1.77002E+11
19701117,19701128,-93.026413,28.789603,1.77002E+11
19701224,19710207,-93.282912,29.47776,1.77002E+11
19701102,19701222,-93.282912,29.47776,1.77002E+11
19701207,19701226,-93.148661,29.592801,1.77002E+11
19701228,19710315,-93.174426,29.583924,1.77002E+11
19710111,19710118,-93.075948,29.288767,1.77002E+11
19701209,19701217,-93.015166,29.305251,1.77002E+11
19710315,19710430,-93.474384,29.609425,1.77002E+11
19710126,19710312,-93.723988,29.696833,1.77002E+11
19710316,19710412,-93.134732,29.60811,1.77002E+11
19710321,19710805,-93.126259,29.561879,1.77002E+11
19710324,19710611,-93.799192,29.646458,1.77002E+11
19710615,19710703,-93.697205,29.712164,1.77002E+11
19710331,19710529,-93.697205,29.712164,1.77002E+11
19710507,19710519,-93.630993,29.626496,1.77002E+11
19710702,19710829,-93.44572,29.560491,1.77002E+11
19710914,19720107,-93.130627,29.557947,1.77002E+11
19711023,19711108,-93.735617,29.675991,1.77002E+11
19711208,19720109,-93.451644,29.551426,1.77002E+11
19720110,19720316,-93.224915,29.722691,1.77002E+11
19720210,19720322,-93.377661,29.653376,1.77002E+11
19720114,19720429,-93.130627,29.557947,1.77002E+11
19720426,19720619,-93.033414,29.606831,1.77002E+11
19720212,19720412,-93.033414,29.606831,1.77002E+11
19720219,19720319,-93.69806,29.659994,1.77002E+11
19720424,19720614,-93.233014,29.718108,1.77002E+11
19720703,19720821,-93.722994,29.687785,1.77002E+11
19720731,19730516,-93.227574,29.716049,1.77002E+11
19721116,19730218,-93.22742,29.715906,1.77002E+11
19731126,19740218,-93.227423,29.715862,1.77002E+11
19740302,19740506,-93.224893,29.722692,1.77002E+11
19741215,19750114,-93.701811,29.716575,1.77002E+11
19740918,19741118,-93.701811,29.716575,1.77002E+11
19750222,19750410,-93.781885,29.648182,1.77002E+11
19750830,19751020,-93.730392,29.675473,1.77002E+11
19760602,19761009,-93.710102,29.714335,1.77002E+11
19770801,19770801,-93.720309,29.713368,1.77002E+11
19780107,19780316,-93.722506,29.692545,1.77002E+11
19800429,19800506,-93.70818,29.708516,1.77002E+11
19791212,19800305,-93.70818,29.708516,1.77002E+11
19800311,19800416,-93.70818,29.708516,1.77002E+11
19800804,19800925,-93.729689,29.693489,1.77002E+11
19820704,19820804,-93.719258,29.693844,1.77002E+11
19840104,19840107,-93.738215,29.685846,1.77002E+11
19831025,19831217,-93.738215,29.685846,1.77002E+11
19981214,19990117,-93.711091,29.701196,1.77002E+11
19990604,19990620,-93.723831,29.696718,1.77002E+11
19990404,19990418,-93.723831,29.696718,1.77002E+11
19990426,19990502,-93.723831,29.696718,1.77002E+11
19990517,19990604,-93.723831,29.696718,1.77002E+11
19990917,19990917,-93.714736,29.704907,1.77002E+11
19711030,19711110,-93.541356,29.380273,1.77004E+11
19710117,19710301,-93.200522,29.358717,1.77004E+11
19710311,19710407,-93.200522,29.3587,1.77004E+11
19710411,19710505,-93.200528,29.3587,1.77004E+11
19710413,19710606,-93.25099,29.396277,1.77004E+11
19710130,19710413,-93.25099,29.396277,1.77004E+11
19710123,19710201,-93.075948,29.288743,1.77004E+11
19710226,19710309,-93.275521,29.511758,1.77004E+11
19710320,19710427,-93.282915,29.477743,1.77004E+11
19710220,19710320,-93.282915,29.477743,1.77004E+11
19710414,19710613,-93.25582,29.423141,1.77004E+11
19710626,19710920,-93.242627,29.390992,1.77004E+11
19710527,19710617,-93.199773,29.379239,1.77004E+11
19711102,19711113,-93.295008,29.05146,1.77004E+11
19711117,19711130,-93.295008,29.05146,1.77004E+11
19710509,19710520,-93.2829,29.477812,1.77004E+11
19710523,19710618,-93.188359,29.364266,1.77004E+11
19710510,19710630,-93.200535,29.358713,1.77004E+11
19710910,19710927,-93.034247,29.37145,1.77004E+11
19710711,19710816,-93.261394,29.389537,1.77004E+11
19710623,19710708,-93.188331,29.364297,1.77004E+11
19710615,19730529,-93.255792,29.423141,1.77004E+11
19710704,19710715,-93.255792,29.423141,1.77004E+11
19730504,19730529,-93.255792,29.423141,1.77004E+11
19711006,19711010,-93.182796,29.425626,1.77004E+11
19710727,19710813,-93.182796,29.425626,1.77004E+11
19710721,19711022,-93.282037,29.440007,1.77004E+11
19710712,19710824,-93.188334,29.364253,1.77004E+11
19711020,19711104,-93.188362,29.364286,1.77004E+11
19710907,19711101,-93.467924,29.54354,1.77004E+11
19710812,19710902,-93.267848,29.024651,1.77004E+11
19710816,19711012,-93.263949,29.406599,1.77004E+11
19710906,19710912,-93.278591,29.046219,1.77004E+11
19720127,19720228,-93.199885,29.379172,1.77004E+11
19710906,19711209,-93.199885,29.379172,1.77004E+11
19710921,19711025,-93.199601,29.397004,1.77004E+11
19710927,19711117,-93.242668,29.390997,1.77004E+11
19711107,19711201,-93.274925,29.422889,1.77004E+11
19930625,19930712,-93.274925,29.422889,1.77004E+11
19711028,19711103,-93.271916,29.024659,1.77004E+11
19711126,19711207,-93.269066,29.006596,1.77004E+11
19711125,19711213,-93.283203,29.399652,1.77004E+11
19711216,19720204,-93.283203,29.399652,1.77004E+11
19711119,19711203,-93.55712,29.367769,1.77004E+11
19711112,19711209,-93.188313,29.364303,1.77004E+11
19711122,19720115,-93.242639,29.390973,1.77004E+11
19711216,19720105,-93.188321,29.364278,1.77004E+11
19711212,19711229,-93.160728,28.859009,1.77004E+11
19720214,19720317,-93.269467,29.377115,1.77004E+11
19720120,19720301,-93.242648,29.390956,1.77004E+11
19720425,19720509,-93.188303,29.364284,1.77004E+11
19720130,19720321,-93.188303,29.364284,1.77004E+11
19720216,19720317,-93.250964,29.396236,1.77004E+11
19720321,19720425,-93.251014,29.396255,1.77004E+11
